"State","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"Georgia",15.48715973,17.27257156,15.58947754,15.14539051,14.97041035,15.24253559,15.31511784,16.94039345,18.39523506,18.11491966,19.27401161,20.76217079,15.53943443,14.67429447,15.37035465,15.89936256,15.62635231,16.26163292,16.35210037,18.83144951,17.56064606,16.9787178,17.57352257,18.17676353,17.51107788,14.67576313,13.13696766,11.45192146,12.14711666,14.66543674,13.83642864,12.53002357,11.63456154,11.57019997,11.10291386,10.32572269,9.517050743,11.18099213,10.34167099,10.1093874,10.0678339,9.787387848,9.783462524,10.32239151,10.35294151,9.788434029,9.728894234,10.69403839,10.82829857,10.01766491,10.01658058,10.85944366,11.01063728,9.274075508,9.616605759,9.976652145,9.468849182,9.08124733,8.500314713,8.479294777,8.615857124,8.519875526,9.673256874,8.945123672,8.833025932,10.32876015,10.54091167,11.08397675,12.23563671,15.27953815,11.85871983,14.70524693,12.91886711,13.1031971,12.11458111,13.10467815,13.19026756,13.09709644,13.86498356,14.75615406,15.95708942,16.95954132,17.04819107,17.80355835,15.74638844,14.90276718,15.35905266,17.0388546,19.11416817,20.32284164,20.25424957,17.40136528,15.90088654,16.41736984,16.18751907,18.21327019,16.63133049
"Hawaii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.706816673,9.101061821,9.695033073,7.429714203,7.15717268,7.223338604,8.099966049,7.455459595,7.869699955,7.85233736,7.835878849,6.503470898,6.794685364,7.419763565,7.497602463,7.075656414,6.508404732,6.434802055,6.84302187,7.074433804,7.423131466,7.522921562,7.59741354,7.190300465,7.778112411,8.646964073,8.601135254,11.202981,9.46555233,12.22895908,12.22045898,13.67830849,10.71516705,10.4026041,9.817713737,9.119573593,9.016799927,10.08360577,10.95039272,11.47752953,12.35919476,13.19595528,12.53203106,11.43761921,12.66214275,14.22119713,16.46945763,15.99513626,15.68442345,13.43128109,12.90836143,11.28796864,10.6200428,12.45974731,11.36043644
"Idaho",7.260325909,6.033923149,6.565139294,5.863729954,6.020228386,6.267473221,6.036692619,7.010237217,8.123930931,8.132695198,8.933203697,10.35317898,9.490356445,8.412717819,9.017015457,9.267725945,11.48139954,8.869169235,9.678255081,10.22220898,10.53096294,8.950388908,9.783408165,9.770313263,9.609030724,9.484719276,9.045962334,7.902276516,8.398594856,8.938811302,8.43224144,9.657494545,8.697843552,10.19865227,9.48253727,9.923435211,7.315033436,8.07705307,8.148692131,9.283312798,9.735805511,8.168298721,8.498794556,7.950275421,8.075837135,7.378673077,8.041425705,9.205482483,8.655630112,8.392864227,9.250489235,9.094920158,8.477754593,7.557054043,7.830280781,7.493748665,8.160877228,8.218497276,8.083013535,7.377975941,7.626732826,7.404364109,7.780445576,7.67830658,7.902228832,8.624221802,9.675314903,10.21435452,11.16729927,12.16451645,9.195368767,11.43656731,11.14494133,11.17511177,10.50014973,12.44405174,11.66592693,11.46234798,12.1575098,13.64407539,14.59760094,14.79745293,15.6087265,17.52750778,13.14336395,12.29884815,13.1046114,15.16709518,18.07865143,20.46384048,18.83594894,16.416502,13.65451908,13.92567062,14.09327126,17.23548889,14.03557873
"Illinois",17.08991623,16.44830894,16.43864822,16.34329605,14.93252277,16.73104858,15.6527071,16.78551483,19.73998833,18.96901703,19.82449341,23.08148384,21.16911316,17.01641846,15.21817112,14.54169369,16.62522507,16.16141319,16.69145393,20.299757,17.55954552,16.25389481,16.39447975,16.85169029,16.15949249,14.42957783,13.76414204,12.20753956,13.15736961,13.41116047,12.13932514,11.7632122,11.59506226,12.67723179,11.77731705,10.72308826,9.987586021,10.74194622,10.08845901,10.43225002,9.908082008,9.994913101,10.22678661,9.967461586,10.44793129,9.732906342,9.443937302,10.12508965,10.81408978,10.34802437,10.80470467,11.13925457,10.25282097,8.859334946,9.07971096,9.486357689,9.025185585,8.72240448,8.230846405,8.50646019,8.706339836,8.664610863,9.716053963,9.630196571,9.841946602,10.2805109,11.33117962,11.82679844,12.4812088,15.60141563,13.22524548,16.15159225,15.50611019,15.04212189,14.29955482,15.71679878,15.48059559,15.82617569,16.23145866,17.32925034,18.53297997,19.85159492,20.23504448,21.20832443,17.83065224,17.44619942,17.97319412,20.08929825,21.67287827,22.94748306,24.6860733,22.0028038,18.40563583,20.44235992,19.81990051,23.14178848,20.17593002
"Indiana",11.74697495,10.53300762,10.96625805,9.937562943,11.17294788,11.7075367,10.65660095,12.60121536,15.57989025,16.37083054,16.3646431,17.53316307,14.6224823,13.92377186,12.8921299,13.15873241,13.54263401,13.69190025,13.38601494,15.51190853,13.63657856,13.54007149,13.95994473,14.30540276,12.91031265,11.10848045,9.92743206,9.132698059,10.16545391,11.12977219,10.00503254,9.571204185,9.701317787,10.08305454,9.310682297,8.533514977,8.024981499,8.829751968,8.796328545,8.953526497,8.727556229,8.514306068,8.702788353,8.511059761,8.799515724,8.37798214,8.410346031,9.452858925,9.320530891,8.712133408,9.229542732,9.860776901,9.125337601,8.43625927,8.557385445,8.846837997,7.998569965,8.312143326,8.419074059,8.406335831,8.378977776,8.336336136,8.774801254,8.4414711,8.173974991,9.16408062,10.18236065,10.340868,10.72605419,13.48324299,10.11102772,12.14634132,11.22296715,11.43645,11.12794113,12.16813564,12.15024757,12.36459637,12.42016888,13.16054153,14.78410816,15.8659544,15.10511303,14.43924141,13.4227066,13.05099392,13.47205448,14.31563854,15.52481079,16.3214798,16.56783485,14.45767117,13.66133595,14.10284233,14.16466808,15.40668488,13.95073414
"Iowa",6.500029564,6.209721088,6.792692661,7.318937302,9.028697014,7.887205124,8.162848473,10.37924099,13.56053066,13.07675552,13.64671707,16.40781212,12.57506466,11.98695755,12.32713795,11.65371037,12.7510252,14.36154652,10.28044605,13.77840424,10.12606812,10.55104637,11.36905575,11.67156029,11.6870842,10.29908466,10.22633171,9.094802856,9.82697773,9.948937416,10.64827824,8.110115051,9.38781929,9.614233017,8.920590401,7.507407665,8.097848892,7.87036705,9.163275719,8.353321075,7.82516098,8.184541702,8.710597992,8.735642433,9.061676025,8.252339363,7.862977505,9.144929886,8.981897354,8.134978294,8.49920845,9.118083954,8.354250908,7.611005306,8.19174099,8.201328278,7.697016239,7.978939056,8.063349724,8.014310837,8.034036636,7.356344223,8.331442833,8.244951248,7.875016689,9.074662209,10.40369415,9.775028229,9.747312546,11.52998257,8.84265995,10.69471073,10.19066811,10.0972538,9.870445251,10.50158691,10.46405602,10.23252678,10.47624588,10.69683933,12.56951714,13.60736084,13.67358875,12.59195232,11.57092094,11.29637623,11.60253906,12.307024,12.9193964,14.40657043,14.50025463,13.11463547,11.66928577,12.09999561,11.76600075,14.55536366,11.70932865
"Kansas",9.487429619,8.973793983,9.242832184,9.322631836,9.424743652,10.05702209,9.170484543,11.02810764,14.48763084,15.14374924,14.30050945,16.09980011,13.83222675,12.20779228,11.50886822,12.83202839,12.75609779,14.03830814,12.7349205,14.94665527,13.25988197,12.44470596,13.35915279,13.27115917,14.09447002,11.73786163,10.53099918,9.607625961,10.61802197,11.86007977,11.35355949,12.3967762,10.91009712,11.38793755,10.71763039,9.067563057,8.666938782,9.190540314,9.239443779,9.001286507,9.042854309,8.50527668,8.692547798,8.899120331,9.288356781,8.908359528,9.001953125,9.715303421,9.75740242,9.380919456,9.68333149,10.89138222,9.652644157,8.651280403,8.82917881,8.773431778,8.72010231,8.991303444,9.04199791,8.686973572,9.310788155,8.996416092,9.815997124,10.16928959,9.897891998,10.14424038,11.01065922,10.78266621,11.55925751,12.89362049,10.40264225,13.16478729,12.88573456,11.92993355,11.57808208,12.31682205,11.84600258,11.40315247,12.66955376,13.06793976,14.40443325,14.77261353,15.16849804,14.80104637,12.77186203,13.25082493,13.72068024,14.51114655,16.08764648,17.44399834,17.9804821,16.26105118,14.6522646,16.40237045,15.90317726,18.28949547,15.89420891
"Kentucky",15.2688036,14.81518841,13.36449718,13.4475708,14.20957851,15.12472725,15.18001747,15.1023283,17.19694519,17.97329521,18.68223953,19.82016945,18.39546394,15.7488184,14.50573349,15.53458214,16.08747673,16.83686447,16.20060921,18.15324974,14.76848221,15.3013258,15.2942915,16.05340385,15.39993858,12.70721912,11.85975933,10.72502708,11.76235771,13.10464573,13.02450752,11.96315193,11.41854668,12.2350502,10.64620781,10.01689816,9.509899139,11.17162514,10.80970478,10.6060915,11.65816975,10.11508274,9.945505142,9.779443741,10.0593338,9.430397987,9.778868675,11.27533054,11.2643013,10.3264389,10.2856369,10.83075523,10.05111313,9.728922844,9.988491058,9.77077961,9.394114494,10.00449371,10.35580921,9.53974247,9.698329926,9.28091526,9.59094429,9.688569069,9.678212166,10.69962406,12.39490414,12.0753336,12.43752384,15.35700035,11.77499676,13.40385914,13.06789589,12.38546276,11.6565733,12.10959721,12.32203293,12.04103279,12.63712311,12.96602535,14.95804596,15.89870262,15.45378017,14.81053162,13.96381855,13.18417168,13.81216526,14.76241112,15.75593853,16.58430099,17.11531067,15.67697048,14.09239578,15.25987053,14.17736053,15.29280567,14.03715324
"Louisiana",16.92733765,18.84456635,17.83685303,14.53402901,13.33959961,14.09760952,14.39290237,15.36019325,16.45853806,16.28580093,17.03530121,18.68194199,15.47427368,14.77018261,14.16298103,14.23073959,14.01687336,14.81449986,15.08246994,18.98028755,17.49981117,16.27718925,16.77950859,16.96419144,15.75030041,12.92514133,11.90460491,10.67772579,11.62584019,13.76584721,12.78220367,14.37328815,12.94913387,14.07049084,12.88415241,12.26051807,10.75434494,11.82713604,12.12233257,11.60127354,10.68081284,10.24359703,12.99265766,11.03634644,10.91987133,10.66838169,10.42291737,11.59356213,12.15573025,11.30844975,10.85215569,11.02550983,11.13212013,9.926698685,10.39666557,10.53736782,10.18038654,10.28839207,10.15306664,10.01745224,10.41702843,10.03351498,10.88761139,11.2170639,11.15041065,11.99750996,14.4244318,13.98262596,13.87600708,15.27102947,11.68700218,13.33439541,12.65267181,12.42215919,12.36508846,12.80588627,12.81254196,12.84536648,13.05541039,14.99713326,16.96451759,16.62202263,15.57808495,15.7379055,15.387743,14.14838409,13.84283352,14.0945425,17.6509304,21.99382019,15.80774975,23.67247581,16.14328766,16.27140617,14.39713287,18.95972252,16.41117477
"Maine",17.48407745,14.69406033,13.14228058,12.2214756,13.35020828,13.90045929,13.05433941,14.95649433,19.01729012,18.87974358,19.37679672,21.00383186,19.92673874,15.86175251,16.09262657,15.09820557,13.87369919,14.06638622,14.49690342,16.38288498,15.85663128,20.705019,14.59694576,14.43618679,13.25814724,10.70519733,9.730079651,9.182105064,10.43917274,10.86089039,9.69442749,9.815585136,9.305117607,10.52432728,9.928739548,8.843993187,8.932042122,8.999437332,9.517220497,8.911493301,8.720505714,9.074986458,8.016403198,8.147637367,9.297176361,8.232517242,8.50314045,10.33263683,10.42797756,9.201685905,9.958679199,10.12670135,9.299525261,8.445319176,8.896944046,8.290518761,8.307855606,8.243440628,7.990764618,7.996912003,8.442374229,8.632376671,8.71547699,8.552000046,8.218092918,9.302773476,10.1086731,9.991570473,10.84092426,14.55135632,11.38002586,12.24237919,11.00527763,10.04212856,10.32814503,10.80182457,10.64184761,11.16283131,11.14391613,12.12381458,14.4397707,15.64213753,15.94888878,17.1608448,14.05625916,13.23996353,13.14685726,14.33825779,15.65581036,16.19057846,15.71043396,14.07219601,12.78537178,13.04253101,12.83545017,14.27235222,12.7198782
