"State","year","vals"
"Kentucky","1926",17.97329521
"Louisiana","1926",16.28580093
"Maine","1926",18.87974358
"Maryland","1926",23.26994705
"Massachusetts","1926",20.86765862
"Michigan","1926",18.09197235
"Minnesota","1926",16.62161827
"Mississippi","1926",12.63908672
"Missouri","1926",19.26693535
"Montana","1926",14.04389477
"Nebraska","1926",12.94538975
"Nevada","1926",12.9973526
"New Hampshire","1926",16.14354897
"New Jersey","1926",20.29882622
"New Mexico","1926",15.59139919
"New York","1926",24.4494133
"North Carolina","1926",14.17036057
"North Dakota","1926",12.05633354
"Ohio","1926",18.073246
"Oklahoma","1926",18.62466812
"Oregon","1926",13.68893814
"Pennsylvania","1926",19.14004898
"Rhode Island","1926",20.58108139
"South Carolina","1926",13.71903229
"South Dakota","1926",10.52583313
"Tennessee","1926",18.68730354
"Texas","1926",17.8079319
"Utah","1926",13.81394005
"Vermont","1926",17.02844429
"Virginia","1926",17.24921799
"Washington","1926",13.06593323
"West Virginia","1926",14.54192066
"Wisconsin","1926",14.74503708
"Wyoming","1926",10.63950729
"Alabama","1927",15.91982555
"Alaska","1927",NA
"Arizona","1927",14.99483967
"Arkansas","1927",13.49060822
"California","1927",17.93933296
"Colorado","1927",17.75653267
"Connecticut","1927",21.69507027
"Delaware","1927",43.16082382
"District of Columbia","1927",23.48908424
"Florida","1927",17.93301964
"Georgia","1927",19.27401161
"Hawaii","1927",NA
"Idaho","1927",8.933203697
"Illinois","1927",19.82449341
"Indiana","1927",16.3646431
"Iowa","1927",13.64671707
"Kansas","1927",14.30050945
"Kentucky","1927",18.68223953
"Louisiana","1927",17.03530121
"Maine","1927",19.37679672
"Maryland","1927",25.30925179
"Massachusetts","1927",22.42812347
"Michigan","1927",18.35377884
"Minnesota","1927",17.68972206
"Mississippi","1927",13.02127457
"Missouri","1927",20.09036446
"Montana","1927",13.66899872
"Nebraska","1927",13.78050137
"Nevada","1927",13.63336086
"New Hampshire","1927",17.88603783
"New Jersey","1927",20.72463608
"New Mexico","1927",16.2166996
"New York","1927",26.16436005
"North Carolina","1927",15.25105381
"North Dakota","1927",12.34283733
"Ohio","1927",18.95011902
"Oklahoma","1927",18.13204384
"Oregon","1927",12.75420284
"Pennsylvania","1927",20.05586433
"Rhode Island","1927",21.9389534
"South Carolina","1927",13.96024895
"South Dakota","1927",11.69395638
"Tennessee","1927",19.56629562
"Texas","1927",17.63677025
"Utah","1927",15.28638935
"Vermont","1927",17.52449989
"Virginia","1927",17.99812698
"Washington","1927",13.17250538
"West Virginia","1927",15.43857956
"Wisconsin","1927",15.41823387
"Wyoming","1927",10.94393444
"Alabama","1928",17.99867439
"Alaska","1928",NA
"Arizona","1928",17.87656403
"Arkansas","1928",14.23181534
"California","1928",20.47963333
"Colorado","1928",19.76434708
"Connecticut","1928",24.24732971
"Delaware","1928",46.17874527
"District of Columbia","1928",24.70029068
"Florida","1928",22.72625542
"Georgia","1928",20.76217079
"Hawaii","1928",NA
"Idaho","1928",10.35317898
"Illinois","1928",23.08148384
"Indiana","1928",17.53316307
"Iowa","1928",16.40781212
"Kansas","1928",16.09980011
"Kentucky","1928",19.82016945
"Louisiana","1928",18.68194199
"Maine","1928",21.00383186
"Maryland","1928",27.06618881
"Massachusetts","1928",24.78436089
"Michigan","1928",21.43218422
"Minnesota","1928",20.20858765
"Mississippi","1928",13.99533749
"Missouri","1928",21.93465233
"Montana","1928",15.94200134
"Nebraska","1928",15.26241016
"Nevada","1928",18.27031517
"New Hampshire","1928",19.33754158
"New Jersey","1928",23.51118279
"New Mexico","1928",17.47242737
"New York","1928",30.09885216
"North Carolina","1928",17.10027504
"North Dakota","1928",13.09950542
"Ohio","1928",21.68985939
"Oklahoma","1928",20.08290672
"Oregon","1928",15.49695683
"Pennsylvania","1928",22.56551933
"Rhode Island","1928",24.21240234
"South Carolina","1928",15.23023129
"South Dakota","1928",12.85652924
"Tennessee","1928",21.07839775
"Texas","1928",19.19211197
"Utah","1928",16.36288452
"Vermont","1928",17.9172802
"Virginia","1928",19.14157867
"Washington","1928",15.27258873
"West Virginia","1928",16.89129448
"Wisconsin","1928",17.24216843
"Wyoming","1928",12.42562008
"Alabama","1929",14.54164028
"Alaska","1929",NA
"Arizona","1929",14.66832542
"Arkansas","1929",12.92941761
"California","1929",17.92638969
"Colorado","1929",17.34632874
"Connecticut","1929",24.15105057
"Delaware","1929",38.99631119
"District of Columbia","1929",18.4054966
"Florida","1929",18.96242905
"Georgia","1929",15.53943443
"Hawaii","1929",NA
"Idaho","1929",9.490356445
"Illinois","1929",21.16911316
"Indiana","1929",14.6224823
"Iowa","1929",12.57506466
"Kansas","1929",13.83222675
"Kentucky","1929",18.39546394
"Louisiana","1929",15.47427368
"Maine","1929",19.92673874
"Maryland","1929",23.4914875
"Massachusetts","1929",25.74130249
"Michigan","1929",20.23403549
"Minnesota","1929",17.55800819
"Mississippi","1929",12.64307213
"Missouri","1929",19.84336662
"Montana","1929",13.65943432
"Nebraska","1929",12.00718784
"Nevada","1929",13.4997263
"New Hampshire","1929",16.58064842
"New Jersey","1929",21.19843292
"New Mexico","1929",13.35371017
"New York","1929",34.560215
"North Carolina","1929",12.94545174
"North Dakota","1929",9.243757248
"Ohio","1929",18.83150101
"Oklahoma","1929",18.06473351
"Oregon","1929",13.1524477
"Pennsylvania","1929",21.89730835
"Rhode Island","1929",23.617033
"South Carolina","1929",12.07684612
"South Dakota","1929",10.88729
"Tennessee","1929",16.78357887
"Texas","1929",16.13318253
"Utah","1929",14.16703415
"Vermont","1929",15.7110796
"Virginia","1929",13.95962238
"Washington","1929",14.54036427
"West Virginia","1929",13.75815296
"Wisconsin","1929",15.16691113
"Wyoming","1929",10.1041708
"Alabama","1930",14.68599224
"Alaska","1930",NA
"Arizona","1930",12.24359608
"Arkansas","1930",12.88243961
"California","1930",14.75707245
"Colorado","1930",15.08512878
"Connecticut","1930",17.53517723
"Delaware","1930",28.76996994
"District of Columbia","1930",14.05899429
"Florida","1930",15.8137331
"Georgia","1930",14.67429447
"Hawaii","1930",NA
"Idaho","1930",8.412717819
"Illinois","1930",17.01641846
"Indiana","1930",13.92377186
"Iowa","1930",11.98695755
"Kansas","1930",12.20779228
"Kentucky","1930",15.7488184
"Louisiana","1930",14.77018261
"Maine","1930",15.86175251
"Maryland","1930",19.09658241
"Massachusetts","1930",18.12260056
"Michigan","1930",15.32253265
"Minnesota","1930",14.51481342
"Mississippi","1930",13.42152977
"Missouri","1930",16.76935387
"Montana","1930",11.51327515
"Nebraska","1930",12.07050514
"Nevada","1930",13.19043922
"New Hampshire","1930",13.73013306
"New Jersey","1930",16.01757813
"New Mexico","1930",13.94011879
"New York","1930",21.2714386
"North Carolina","1930",12.85157681
"North Dakota","1930",9.391377449
"Ohio","1930",15.89942646
"Oklahoma","1930",16.93300629
"Oregon","1930",12.11380386
"Pennsylvania","1930",16.79052353
"Rhode Island","1930",18.37122726
"South Carolina","1930",11.71134186
"South Dakota","1930",10.44686604
"Tennessee","1930",15.47466946
"Texas","1930",14.72282314
"Utah","1930",12.25263882
"Vermont","1930",13.7628212
"Virginia","1930",13.52817249
"Washington","1930",11.87296486
"West Virginia","1930",12.65455151
"Wisconsin","1930",13.76366138
"Wyoming","1930",9.674614906
"Alabama","1931",14.77752876
"Alaska","1931",NA
"Arizona","1931",11.66787148
"Arkansas","1931",11.22482014
"California","1931",13.26826477
"Colorado","1931",15.02291298
"Connecticut","1931",15.36393738
"Delaware","1931",25.79257202
"District of Columbia","1931",12.73550701
"Florida","1931",16.70492554
